the,0.573985379379884,0.5724206349206349
a,0.5258381648600958,0.48387896825396826
and,0.5112175447441392,0.39955357142857145
of,0.46433072851020923,0.3923611111111111
to,0.2987143937484245,0.33581349206349204
is,0.2815729770607512,0.2884424603174603
's,0.2813208974035795,0.2673611111111111
it,0.2556087723720696,0.26165674603174605
that,0.22863624905470128,0.21453373015873015
in,0.21779682379631965,0.21006944444444445
but,0.14393748424502142,0.1579861111111111
film,0.16939752961935972,0.1284722222222222
with,0.15578522813208975,0.12103174603174603
this,0.11746912024199647,0.14112103174603174
movie,0.09856314595412151,0.1463293650793651
for,0.10915049155533149,0.12921626984126985
as,0.11293168641290648,0.125
an,0.13410637761532646,0.09623015873015874
its,0.11545248298462314,0.10267857142857142
be,0.07713637509452988,0.09424603174603174
n't,0.0627678346357449,0.10342261904761904
you,0.08822788001008319,0.07713293650793651
on,0.07764053440887321,0.08308531746031746
not,0.0665490294933199,0.07837301587301587
by,0.06528863120746156,0.0716765873015873
one,0.07033022435089488,0.06572420634920635
has,0.07259894126543988,0.06299603174603174
about,0.0657927905218049,0.0662202380952381
are,0.06604487017897656,0.0642361111111111
like,0.05092009074867658,0.078125
more,0.05444920594907991,0.07242063492063493
at,0.06327199395008823,0.061507936507936505
than,0.05243256869170658,0.07043650793650794
from,0.06327199395008823,0.05803571428571429
have,0.04940761280564659,0.06572420634920635
all,0.053440887320393246,0.060267857142857144
his,0.05722208217796824,0.04563492063492063
so,0.03629947063271994,0.062003968253968256
if,0.04613057726241492,0.05109126984126984
--,0.047390975548273255,0.04538690476190476
or,0.03377867406100328,0.05853174603174603
story,0.04915553314847492,0.04017857142857143
i,0.03403075371817494,0.050595238095238096
just,0.02974539954625662,0.054563492063492064
there,0.03428283337534661,0.048859126984126984
who,0.04688681623392992,0.03521825396825397
what,0.042853541719183263,0.03869047619047619
into,0.0395765061759516,0.037450396825396824
does,0.03176203680362995,0.0441468253968254
much,0.02898916057474162,0.045882936507936505
most,0.04537433829089992,0.029265873015873016
out,0.03226619611797328,0.04141865079365079
even,0.03403075371817494,0.03968253968253968
too,0.01613309805898664,0.05555555555555555
up,0.026720443660196623,0.04365079365079365
comedy,0.03453491303251827,0.03125
will,0.03604739097554827,0.02976190476190476
can,0.03251827577514495,0.03249007936507937
time,0.029493319889084952,0.03298611111111111
no,0.01890597428787497,0.043402777777777776
characters,0.027728762288883286,0.034722222222222224
good,0.03075371817494328,0.03050595238095238
some,0.03075371817494328,0.030257936507936508
only,0.018401814973531636,0.03844246031746032
little,0.024703806402823294,0.03149801587301587
way,0.030249558860599948,0.024553571428571428
``,0.028485001260398286,0.025297619047619048
funny,0.03327451474665995,0.018849206349206348
make,0.02974539954625662,0.021825396825396824
do,0.020670531888076632,0.029265873015873016
very,0.024451726745651627,0.024553571428571428
director,0.02419964708847996,0.024305555555555556
never,0.019410133602218303,0.028273809523809524
would,0.015881018401814974,0.031746031746031744
when,0.019410133602218303,0.028273809523809524
he,0.0216788505167633,0.026041666666666668
they,0.0201663725737333,0.026537698412698412
enough,0.023695487774136628,0.023065476190476192
their,0.028485001260398286,0.018353174603174604
been,0.01739349634484497,0.029017857142857144
best,0.03251827577514495,0.013888888888888888
makes,0.024703806402823294,0.020337301587301588
any,0.019662213259389966,0.024305555555555556
your,0.0216788505167633,0.02132936507936508
work,0.025207965717166624,0.017361111111111112
life,0.029241240231913285,0.013392857142857142
which,0.01814973531635997,0.024057539682539684
us,0.026468364003024956,0.015625
while,0.024451726745651627,0.017361111111111112
was,0.013612301487269978,0.028025793650793652
we,0.01814973531635997,0.023313492063492064
may,0.025207965717166624,0.01636904761904762
love,0.027980841946054952,0.013392857142857142
movies,0.0209226115452483,0.020089285714285716
new,0.022183009831106628,0.01711309523809524
bad,0.0037811948575749935,0.034722222222222224
through,0.01739349634484497,0.02132936507936508
could,0.015124779430299974,0.023313492063492064
something,0.016637257373329974,0.021577380952380952
well,0.021426770859591632,0.01636904761904762
them,0.017141416687673303,0.019593253968253968
should,0.013108142172926645,0.023313492063492064
how,0.018401814973531636,0.017361111111111112
films,0.021930930173934965,0.013640873015873016
those,0.020670531888076632,0.014136904761904762
performances,0.026468364003024956,0.008432539682539682
own,0.01613309805898664,0.018353174603174604
made,0.014620620115956643,0.019593253968253968
plot,0.01008318628686665,0.023809523809523808
really,0.01209982354423998,0.021825396825396824
look,0.022183009831106628,0.011408730158730158
better,0.012603982858583312,0.020833333333333332
still,0.02268716914544996,0.010912698412698412
drama,0.0201663725737333,0.01314484126984127
every,0.01134358457272498,0.02132936507936508
see,0.016385177716158307,0.015625
other,0.01411646080161331,0.017609126984126984
her,0.019662213259389966,0.012152777777777778
two,0.017645576002016636,0.013888888888888888
nothing,0.008570708343836652,0.022817460317460316
long,0.011595664229896647,0.01984126984126984
many,0.01537685908747164,0.015873015873015872
fun,0.020418452230904965,0.01066468253968254
off,0.010587345601209983,0.01984126984126984
're,0.012856062515754978,0.017609126984126984
might,0.011091504915553314,0.019345238095238096
great,0.0209226115452483,0.009424603174603174
get,0.011595664229896647,0.018601190476190476
both,0.021930930173934965,0.008432539682539682
here,0.011595664229896647,0.018353174603174604
cast,0.017645576002016636,0.012152777777777778
though,0.01688933703050164,0.012648809523809524
people,0.013360221830098312,0.015873015873015872
action,0.010587345601209983,0.018601190476190476
big,0.013864381144441643,0.01488095238095238
also,0.017645576002016636,0.011160714285714286
audience,0.013612301487269978,0.015128968253968254
script,0.007562389715149987,0.020833333333333332
character,0.013864381144441643,0.014632936507936508
being,0.01209982354423998,0.015873015873015872
